path,x_pix,y_pix,has_target
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1065_196,119.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1035_190,149.0,117.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1058_185,126.0,122.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_973_120,211.0,187.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1066_196,118.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_978_112,206.0,195.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1030_157,154.0,150.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1066_176,118.0,131.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1016_143,168.0,164.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1062_196,122.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1052_160,132.0,147.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1060_144,124.0,163.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1011_196,173.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1066_163,118.0,144.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_999_169,185.0,138.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_983_131,201.0,176.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_976_196,208.0,111.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1066_154,118.0,153.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_1008_97,176.0,210.0,1
/media/isacDisk1/Demetra/notebooks/generated_tracking_tiles/offset_sweep/15-12-2020_1300_end16_offset_sweep/15-12-2020_1300_999_196,185.0,111.0,1
