path,start,end
/leonardo_scratch/fast/IscrC_SAME-D/airmass/11-09-2020_0910_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-11-2020_1605_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/24-05-2020_0740_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/15-10-2020_1035_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/08-11-2020_0645_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-04-2020_1920_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/17-05-2020_1420_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-08-2020_1545_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/28-04-2020_1535_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/26-02-2023_1050_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-01-2020_0400_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/26-04-2020_0200_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/30-11-2020_0645_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-09-2020_1950_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/08-03-2020_0635_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-05-2020_2055_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/18-11-2020_2125_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/20-05-2020_1540_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/23-03-2020_1955_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-11-2014_0640_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/17-03-2020_1835_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/13-11-2020_2125_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/19-10-2020_1555_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/19-09-2020_0510_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-05-2020_2220_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/11-11-2020_1605_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/18-07-2020_1235_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-03-2020_0515_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-03-2020_1955_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/18-05-2020_2100_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/18-06-2020_1835_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-11-2020_0805_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-12-2020_0005_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-11-2011_0000_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/16-12-2020_0100_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/21-05-2020_0500_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/25-08-2020_1950_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/07-06-2020_2355_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-11-2011_1440_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/24-12-2020_1020_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-10-2020_1830_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-07-2020_0315_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-03-2023_1220_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/06-02-2020_2225_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/21-09-2020_1310_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-09-2020_1950_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-05-2020_2055_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/29-10-2021_1840_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-07-2020_1515_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/23-08-2020_0630_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/06-05-2020_1820_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-08-2020_0350_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/17-11-2020_1725_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/08-09-2023_1815_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/16-11-2020_0645_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/26-02-2020_1425_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/26-02-2020_0745_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-03-2023_2310_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-02-2020_2105_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-09-2023_1600_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-10-2018_0540_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/24-02-2023_1200_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/05-06-2020_1835_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-09-2023_0455_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-11-2020_0805_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-03-2020_1710_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/13-07-2020_0035_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-02-2020_1025_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/25-02-2023_0640_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-11-2021_1720_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/07-10-2020_2110_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/06-11-2014_1600_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/23-03-2020_2115_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/18-09-2020_1310_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-10-2020_0110_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-07-2020_1355_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/17-05-2020_0620_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-11-2011_0520_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/19-04-2020_0040_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-07-2020_1755_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/08-12-2020_1605_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/07-07-2020_0155_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-09-2023_0735_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-11-2020_1445_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-11-2020_2005_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/27-09-2018_1600_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/30-06-2020_1115_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/12-04-2020_0200_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/09-09-2023_2335_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/28-05-2020_1620_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/30-12-2020_1700_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/06-11-2021_1040_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/23-08-2020_2110_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-01-2020_1200_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/28-07-2020_1305_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/05-11-2014_1600_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/17-02-2020_0105_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-02-2020_0745_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/09-02-2020_1545_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/26-09-2018_2000_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/07-11-2011_1440_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/07-07-2020_1755_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-07-2020_0955_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/26-05-2020_1820_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/09-07-2020_0155_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-09-2023_1255_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/29-02-2020_2225_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/23-04-2020_1000_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/05-09-2023_0215_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-07-2020_2035_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-03-2020_1950_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/18-11-2017_2240_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/15-08-2020_1710_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/15-05-2020_0620_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/15-06-2020_0915_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/05-11-2020_0005_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/19-08-2020_0230_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/17-07-2020_1515_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/11-12-2020_0220_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/18-11-2020_2245_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/19-11-2017_1320_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-12-2020_0005_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/05-02-2020_1145_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/19-05-2020_0100_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-02-2020_1945_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/21-07-2020_0715_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-01-2020_0120_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-11-2017_0240_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/15-12-2020_1300_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/28-06-2020_0435_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-08-2020_0505_639_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-11-2011_2120_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/23-06-2020_0235_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-03-2020_0115_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/15-05-2020_0620_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/25-12-2020_0220_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/10-03-2020_2115_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-10-2018_1900_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/01-11-2020_0125_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/20-02-2020_1305_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/27-09-2020_0110_213_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/25-04-2020_0040_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/05-06-2020_0635_426_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/29-04-2020_1815_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/06-02-2020_1705_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-09-2023_0335_639_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/26-02-2020_1425_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/02-03-2023_1230_1065_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/14-12-2020_2220_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/16-07-2020_2315_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/13-12-2020_0340_852_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/16-08-2020_0630_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/23-04-2020_0320_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/04-06-2020_2300_1065_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/16-06-2020_0235_0_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/27-11-2020_1325_426_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/22-05-2020_0740_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/21-06-2020_0515_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/07-11-2020_1205_0_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/03-03-2023_1910_852_0,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/13-05-2020_0500_213_196,1,16
/leonardo_scratch/fast/IscrC_SAME-D/airmass/16-09-2020_0110_852_0,1,16
